<![LOG[Converting WMI object to application data. 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at ConvertToApplication)]LOG]!><time="08:11:41.0921146" date="9-24-2018" component="SCClient" context="" type="1" thread="7" file="">
	DeploymentReport = "<ConfigurationItemReport AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"Application_dd99167d-5119-4941-9cc7-29858370f3eb\" Version=\"46\" Type=\"AppModel\" ComputerName=\"5CG60800TBC0FF\" CIComplianceState=\"NotInstalled\" CIDesiredState=\"Installed\" CIApplicablityState=\"Applicable\" CISeverity=\"None\" CIConfigureState=\"NotNeeded\" TotalConstraintViolations=\"0\" TotalDiscoveryViolations=\"0\" TotalModelViolations=\"0\" TotalSuppressionCount=\"0\" TotalEnforcements=\"0\" TotalConflicts=\"0\" MaxOverallSeverity=\"None\" SupersessionState=\"None\"><CIProperties><Name>DLM_Mandatory_Applications_1.0_Eng</Name><Description/></CIProperties><RequirementViolations Count=\"0\"/><ConflictViolations Count=\"0\"/><CompliantRules Count=\"0\"/><ModelViolations Count=\"0\" SuppressedCount=\"0\" MaxSeverity=\"None\"/><DiscoveryViolations Count=\"0\" SuppressedCount=\"0\" MaxSeverity=\"None\"/><ReferencedConfigurationItems MaxOverallSeverity=\"None\" TotalConflicts=\"0\" TotalConstraintViolations=\"0\" TotalDiscoveryViolations=\"0\" TotalModelViolations=\"0\" TotalEnforcements=\"0\" TotalSuppressionCount=\"0\"><ConfigurationItemReport AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DeploymentType_bc18de5b-ffdb-406c-b4b3-eb991a7d7659\" Version=\"46\" Type=\"Deployment Type\" ComputerName=\"5CG60800TBC0FF\" CIComplianceState=\"NotInstalled\" CIDesiredState=\"Installed\" CIApplicablityState=\"Applicable\" CISeverity=\"None\" CIConfigureState=\"NotNeeded\" TotalConstraintViolations=\"0\" TotalModelViolations=\"0\" TotalSuppressionCount=\"0\" TotalEnforcements=\"0\" MaxOverallSeverity=\"None\" TotalConflicts=\"0\" TotalDependancyViolations=\"0\" TotalSupersedesViolations=\"0\" TotalNonSupersedenceViolations=\"0\" TotalCompliantCount=\"11\" SupersessionState=\"None\" TotalRequirementsCount=\"0\" TotalDiscoveryViolations=\"0\" Policy=\"Required\"><CIProperties><Name>DLM_Mandatory_Applications_1.0_Eng</Name><Description/></CIProperties><NonSupersedenceViolations Count=\"0\"/><SupersedesViolations Count=\"0\"/><DependancyViolations Count=\"0\"/><RequirementViolations Count=\"0\"/><ConflictViolations Count=\"0\"/><CompliantRules Count=\"11\"><CompliantRule><RuleLogicalName>DTRule_a9be951b-0e2e-4ac7-b8ae-72eeca764c81</RuleLogicalName><RuleName>DTRule_a9be951b-0e2e-4ac7-b8ae-72eeca764c81</RuleName><RuleDescription/><SelectedCI AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DEP_c672912e-6c91-4383-82d8-09cf5f794983\" Version=\"6\"/></CompliantRule><CompliantRule><RuleLogicalName>DTRule_b05a3259-77c5-4ae2-9d83-fd016642ea47</RuleLogicalName><RuleName>DTRule_b05a3259-77c5-4ae2-9d83-fd016642ea47</RuleName><RuleDescription/><SelectedCI AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DEP_de75a673-70b0-4da9-af6e-b5743031cbc7\" Version=\"4\"/></CompliantRule><CompliantRule><RuleLogicalName>DTRule_721599af-8316-4d09-a5b9-147c2ea14637</RuleLogicalName><RuleName>DTRule_721599af-8316-4d09-a5b9-147c2ea14637</RuleName><RuleDescription/><SelectedCI AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DeploymentType_6fe04f6d-42f9-42de-bde9-6fe473a0a5ac\" Version=\"1\"/></CompliantRule><CompliantRule><RuleLogicalName>DTRule_79a0e9e7-e01b-4a85-ae01-17a51ef78dac</RuleLogicalName><RuleName>DTRule_79a0e9e7-e01b-4a85-ae01-17a51ef78dac</RuleName><RuleDescription/><SelectedCI AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DEP_e5f483a6-6af5-4ad2-bb75-b058182c0f99\" Version=\"2\"/></CompliantRule><CompliantRule><RuleLogicalName>DTRule_91b596a7-eba3-4771-aeb0-29328fd60aa7</RuleLogicalName><RuleName>DTRule_91b596a7-eba3-4771-aeb0-29328fd60aa7</RuleName><RuleDescription/><SelectedCI AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DEP_0db1460a-950d-4dca-95c9-099135e3d1d0\" Version=\"3\"/></CompliantRule><CompliantRule><RuleLogicalName>DTRule_b28da981-8645-4dec-8921-9c0498cfc137</RuleLogicalName><RuleName>DTRule_b28da981-8645-4dec-8921-9c0498cfc137</RuleName><RuleDescription/><SelectedCI AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DEP_92c922e4-cb7d-4e14-9f31-dc96367091eb\" Version=\"7\"/></CompliantRule><CompliantRule><RuleLogicalName>DTRule_d593b85d-5ffe-4860-ad4e-69fd60defd21</RuleLogicalName><RuleName>DTRule_d593b85d-5ffe-4860-ad4e-69fd60defd21</RuleName><RuleDescription/><SelectedCI AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DeploymentType_586e07cc-8c9d-44b7-8b9e-518bc0ab2b47\" Version=\"5\"/></CompliantRule><CompliantRule><RuleLogicalName>DTRule_726a12f9-0f48-4f39-acec-b70c318cc1a8</RuleLogicalName><RuleName>DTRule_726a12f9-0f48-4f39-acec-b70c318cc1a8</RuleName><RuleDescription/><SelectedCI AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DEP_f8a9d09b-edf5-416e-80f7-8d47f533b823\" Version=\"3\"/></CompliantRule><CompliantRule><RuleLogicalName>DTRule_7c92ec18-867d-4fb2-9a99-7fe834625cf8</RuleLogicalName><RuleName>DTRule_7c92ec18-867d-4fb2-9a99-7fe834625cf8</RuleName><RuleDescription/><SelectedCI AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DeploymentType_a93cd46a-91cd-4339-9807-b2e109f29ec9\" Version=\"2\"/></CompliantRule><CompliantRule><RuleLogicalName>DTRule_7c71e881-980c-417d-af21-09358017bc15</RuleLogicalName><RuleName>DTRule_7c71e881-980c-417d-af21-09358017bc15</RuleName><RuleDescription/><SelectedCI AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"DeploymentType_443635db-f582-4546-adb3-0833ed921f1c\" Version=\"3\"/></CompliantRule><CompliantRule><RuleLogicalName>NonSupersedence</RuleLogicalName><RuleName>NonSupersedence</RuleName><RuleDescription/></CompliantRule></CompliantRules><ModelViolations Count=\"0\" SuppressedCount=\"0\" MaxSeverity=\"None\"/><DiscoveryViolations SuppressedCount=\"0\" MaxSeverity=\"None\" Count=\"0\"/><ReferencedConfigurationItems MaxOverallSeverity=\"None\" TotalConflicts=\"0\" TotalConstraintViolations=\"0\" TotalDiscoveryViolations=\"0\" TotalModelViolations=\"0\" TotalEnforcements=\"0\" TotalSuppressionCount=\"0\"/><BaseConfigurationItems/></ConfigurationItemReport></ReferencedConfigurationItems><BaseConfigurationItems/><ReferencingConfigurationItems><ReferencingConfigurationItem AuthoringScope=\"ScopeId_6A346064-BA31-4989-8165-36BB08CF245D\" LogicalName=\"RequiredApplication_dd99167d-5119-4941-9cc7-29858370f3eb\" Version=\"46\"/></ReferencingConfigurationItems></ConfigurationItemReport>";
	EnforcePreference = 2;
	ErrorCode = 2278556452;
	EvaluationState = 4;
	FileTypes = "";
	FullName = "DLM_Mandatory_Applications_1.0_Eng";
	Icon = "";
	Id = "ScopeId_6A346064-BA31-4989-8165-36BB08CF245D/Application_dd99167d-5119-4941-9cc7-29858370f3eb";
	InformativeUrl = "";
	InProgressActions = {};
	InstallState = "NotInstalled";
	IsMachineTarget = TRUE;
	IsPreflightOnly = FALSE;
	LastEvalTime = "20180921115855.000000+000";
	LastInstallTime = "20171110111700.000000+000";
	Name = "DLM_Mandatory_Applications_1.0_Eng";
	NotifyUser = FALSE;
	OverrideServiceWindow = TRUE;
	PercentComplete = 0;
	Publisher = "DLM";
	RebootOutsideServiceWindow = FALSE;
	ReleaseDate = "00000000000000.000000+000";
	ResolvedState = "Installed";
	Revision = "46";
	SoftwareVersion = "1.0";
	StartTime = "20160701160000.000000+000";
	SupersessionState = "None";
	Type = 1;
	UserUIExperience = FALSE;
};
 	 (Microsoft.SoftwareCenter.Client.Data.WmiConnectionManager at GetInstance)]LOG]!><time="08:11:45.4321207" date="9-24-2018" component="SCClient" context="" type="1" thread="7" file="">
<![LOG[Converting WMI object to application data. 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at ConvertToApplication)]LOG]!><time="08:11:45.4421207" date="9-24-2018" component="SCClient" context="" type="1" thread="7" file="">
<![LOG[Executing WMI query: select * from CCM_RequestedAppPolicy where AppId="ScopeId_6A346064-BA31-4989-8165-36BB08CF245D/Application_dd99167d-5119-4941-9cc7-29858370f3eb" 	 (Microsoft.SoftwareCenter.Client.Data.WmiConnectionManager at ExecuteQuery)]LOG]!><time="08:11:45.4421207" date="9-24-2018" component="SCClient" context="" type="0" thread="7" file="">
<![LOG[Converting WMI object to application data. 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at ConvertToApplication)]LOG]!><time="08:11:45.4421207" date="9-24-2018" component="SCClient" context="" type="1" thread="7" file="">
<![LOG[Converting WMI object to application data. 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at ConvertToApplication)]LOG]!><time="08:11:45.4421207" date="9-24-2018" component="SCClient" context="" type="1" thread="7" file="">
<![LOG[A deployment type was reached that is enforce or not required, no longer traversing the path. 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at RetrieveAllAppmodelDependencies)]LOG]!><time="08:11:45.4421207" date="9-24-2018" component="SCClient" context="" type="1" thread="7" file="">
<![LOG[Converting WMI object to application data. 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at ConvertToApplication)]LOG]!><time="08:11:45.4421207" date="9-24-2018" component="SCClient" context="" type="1" thread="7" file="">
<![LOG[A deployment type was reached that is enforce or not required, no longer traversing the path. 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at RetrieveAllAppmodelDependencies)]LOG]!><time="08:11:45.4421207" date="9-24-2018" component="SCClient" context="" type="1" thread="7" file="">
<![LOG[Converting WMI object to application data. 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at ConvertToApplication)]LOG]!><time="08:11:45.4421207" date="9-24-2018" component="SCClient" context="" type="1" thread="7" file="">
<![LOG[A deployment type was reached that is enforce or not required, no longer traversing the path. 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at RetrieveAllAppmodelDependencies)]LOG]!><time="08:11:45.4421207" date="9-24-2018" component="SCClient" context="" type="1" thread="7" file="">
<![LOG[Converting WMI object to application data. 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at ConvertToApplication)]LOG]!><time="08:11:45.4421207" date="9-24-2018" component="SCClient" context="" type="1" thread="7" file="">
<![LOG[A deployment type was reached that is enforce or not required, no longer traversing the path. 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at RetrieveAllAppmodelDependencies)]LOG]!><time="08:11:45.4421207" date="9-24-2018" component="SCClient" context="" type="1" thread="7" file="">
<![LOG[Converting WMI object to application data. 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at ConvertToApplication)]LOG]!><time="08:11:45.4421207" date="9-24-2018" component="SCClient" context="" type="1" thread="7" file="">
<![LOG[A deployment type was reached that is enforce or not required, no longer traversing the path. 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at RetrieveAllAppmodelDependencies)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="1" thread="7" file="">
<![LOG[Converting WMI object to application data. 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at ConvertToApplication)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="1" thread="7" file="">
<![LOG[A deployment type was reached that is enforce or not required, no longer traversing the path. 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at RetrieveAllAppmodelDependencies)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="1" thread="7" file="">
<![LOG[Converting WMI object to application data. 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at ConvertToApplication)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="1" thread="7" file="">
<![LOG[A deployment type was reached that is enforce or not required, no longer traversing the path. 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at RetrieveAllAppmodelDependencies)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="1" thread="7" file="">
<![LOG[Converting WMI object to application data. 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at ConvertToApplication)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="1" thread="7" file="">
<![LOG[A deployment type was reached that is enforce or not required, no longer traversing the path. 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at RetrieveAllAppmodelDependencies)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="1" thread="7" file="">
<![LOG[Converting WMI object to application data. 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at ConvertToApplication)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="1" thread="7" file="">
<![LOG[A deployment type was reached that is enforce or not required, no longer traversing the path. 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at RetrieveAllAppmodelDependencies)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="1" thread="7" file="">
<![LOG[Converting WMI object to application data. 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at ConvertToApplication)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="1" thread="7" file="">
<![LOG[A deployment type was reached that is enforce or not required, no longer traversing the path. 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at RetrieveAllAppmodelDependencies)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="1" thread="7" file="">
<![LOG[The application: DLM_Mandatory_Applications_1.0_Eng is in progress or completed, removing it from the new software list. 	 (Microsoft.SoftwareCenter.Client.Notification.SingleInstanceApplication at HandleProgressUpdateEvent)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Updating the available notification objects list to remove this application. 	 (Microsoft.SoftwareCenter.Client.Notification.SingleInstanceApplication at RemoveItemFromAvailableNotificationList)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[This is an app model application, the instance path strings are not a direct match; will parse out properties to compare each individually... 	 (Microsoft.SoftwareCenter.Client.Data.UtilityClass at AreInstancesSameApplication)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="0" thread="1" file="">
<![LOG[The application instance paths are not for the same application. Revision: 9, 46 MachineTarget: True,True Id: .ScopeId_6A346064-BA31-4989-8165-36BB08CF245D/Application_b5114422-a6fa-4a24-952f-cab0dbbbb88b, .ScopeId_6A346064-BA31-4989-8165-36BB08CF245D/Application_dd99167d-5119-4941-9cc7-29858370f3eb 	 (Microsoft.SoftwareCenter.Client.Data.UtilityClass at AreInstancesSameApplication)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="0" thread="1" file="">
<![LOG[This is an app model application, the instance path strings are not a direct match; will parse out properties to compare each individually... 	 (Microsoft.SoftwareCenter.Client.Data.UtilityClass at AreInstancesSameApplication)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="0" thread="1" file="">
<![LOG[The application instance paths are not for the same application. Revision: 2, 46 MachineTarget: True,True Id: .ScopeId_6A346064-BA31-4989-8165-36BB08CF245D/Application_ce68d083-3b2f-4fb8-9fee-c2bb1fd57667, .ScopeId_6A346064-BA31-4989-8165-36BB08CF245D/Application_dd99167d-5119-4941-9cc7-29858370f3eb 	 (Microsoft.SoftwareCenter.Client.Data.UtilityClass at AreInstancesSameApplication)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="0" thread="1" file="">
<![LOG[This is an app model application, the instance path strings are not a direct match; will parse out properties to compare each individually... 	 (Microsoft.SoftwareCenter.Client.Data.UtilityClass at AreInstancesSameApplication)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="0" thread="1" file="">
<![LOG[The application instance paths are not for the same application. Revision: 9, 46 MachineTarget: True,True Id: .ScopeId_6A346064-BA31-4989-8165-36BB08CF245D/Application_b5114422-a6fa-4a24-952f-cab0dbbbb88b, .ScopeId_6A346064-BA31-4989-8165-36BB08CF245D/Application_dd99167d-5119-4941-9cc7-29858370f3eb 	 (Microsoft.SoftwareCenter.Client.Data.UtilityClass at AreInstancesSameApplication)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="0" thread="1" file="">
<![LOG[This is an app model application, the instance path strings are not a direct match; will parse out properties to compare each individually... 	 (Microsoft.SoftwareCenter.Client.Data.UtilityClass at AreInstancesSameApplication)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="0" thread="1" file="">
<![LOG[The application instance paths are not for the same application. Revision: 2, 46 MachineTarget: True,True Id: .ScopeId_6A346064-BA31-4989-8165-36BB08CF245D/Application_ce68d083-3b2f-4fb8-9fee-c2bb1fd57667, .ScopeId_6A346064-BA31-4989-8165-36BB08CF245D/Application_dd99167d-5119-4941-9cc7-29858370f3eb 	 (Microsoft.SoftwareCenter.Client.Data.UtilityClass at AreInstancesSameApplication)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="0" thread="1" file="">
<![LOG[This is an app model application, the instance path strings are not a direct match; will parse out properties to compare each individually... 	 (Microsoft.SoftwareCenter.Client.Data.UtilityClass at AreInstancesSameApplication)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="0" thread="1" file="">
<![LOG[The application instance paths are not for the same application. Revision: 5, 46 MachineTarget: True,True Id: .ScopeId_6A346064-BA31-4989-8165-36BB08CF245D/Application_7c9419c5-40c0-4938-91f1-788f3e66a78b, .ScopeId_6A346064-BA31-4989-8165-36BB08CF245D/Application_dd99167d-5119-4941-9cc7-29858370f3eb 	 (Microsoft.SoftwareCenter.Client.Data.UtilityClass at AreInstancesSameApplication)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="0" thread="1" file="">
<![LOG[This is an app model application, the instance path strings are not a direct match; will parse out properties to compare each individually... 	 (Microsoft.SoftwareCenter.Client.Data.UtilityClass at AreInstancesSameApplication)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="0" thread="1" file="">
<![LOG[The application instance paths are not for the same application. Revision: 9, 46 MachineTarget: True,True Id: .ScopeId_6A346064-BA31-4989-8165-36BB08CF245D/Application_b5114422-a6fa-4a24-952f-cab0dbbbb88b, .ScopeId_6A346064-BA31-4989-8165-36BB08CF245D/Application_dd99167d-5119-4941-9cc7-29858370f3eb 	 (Microsoft.SoftwareCenter.Client.Data.UtilityClass at AreInstancesSameApplication)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="0" thread="1" file="">
<![LOG[This is an app model application, the instance path strings are not a direct match; will parse out properties to compare each individually... 	 (Microsoft.SoftwareCenter.Client.Data.UtilityClass at AreInstancesSameApplication)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="0" thread="1" file="">
<![LOG[The application instance paths are not for the same application. Revision: 2, 46 MachineTarget: True,True Id: .ScopeId_6A346064-BA31-4989-8165-36BB08CF245D/Application_ce68d083-3b2f-4fb8-9fee-c2bb1fd57667, .ScopeId_6A346064-BA31-4989-8165-36BB08CF245D/Application_dd99167d-5119-4941-9cc7-29858370f3eb 	 (Microsoft.SoftwareCenter.Client.Data.UtilityClass at AreInstancesSameApplication)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="0" thread="1" file="">
<![LOG[There still is at least one mandatory software update CCM_SoftwareUpdate.UpdateID="Site_6A346064-BA31-4989-8165-36BB08CF245D/SUM_c69d93eb-f442-4c35-bb7d-d2dc3060299c" 	 (Microsoft.SoftwareCenter.Client.Notification.SingleInstanceApplication at NewRequiredAppExists)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Removing menu item of type ViewRequiredAppUpdate from current visible notification object 	 (Microsoft.SoftwareCenter.Client.Notification.UtilityClass at RemoveMenuItemFromCurrentVisbileObject)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Getting the visible menu items for notification of type Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredApp 	 (Microsoft.SoftwareCenter.Client.Notification.NotifyObjectNewRequiredApp at get_VisibleMenuItems)]LOG]!><time="08:11:45.4521207" date="9-24-2018" component="SCClient" context="" type="1" thread="1" file="">
